id,split,lemma,number,case,form,rod_primary,vzor_primary,stem,suffix,stem_suffix_boundary,source_morphemes,source_morpheme_boundaries
1,simple_examples,deň,sg,N,deň,mi,V-deň,deň,ø,[],deň,[]
2,simple_examples,bojar,pl,N,bojari,mp,chlap,bojar,i,[5],bojar,[]
3,simple_examples,vzlet,sg,I,vzletom,mi,zápas,vzlet,om,[5],vz|let,[2]
4,simple_examples,čachrár,sg,A,čachrára,mp,chlap,čachrár,a,[7],čachr|ár,[5]
5,simple_examples,jogín,sg,L,jogínovi,mp,chlap,jogín,ovi,[5],jog|ín,[3]
6,simple_examples,bludár,sg,N,bludár,mp,chlap,bludár,ø,[],blud|ár,[4]
7,simple_examples,hlad,pl,I,hladmi,mi,zápas,hlad,mi,[4],hlad,[]
8,simple_examples,odlev,pl,N,odlevy,mi,zápas,odlev,y,[5],od|le|v,"[2, 4]"
9,simple_examples,pátos,sg,D,pátosu,mi,zápas,pátos,u,[5],pát|os,[3]
10,simple_examples,linotyp,pl,N,linotypy,mi,zápas,linotyp,y,[7],lin|o|typ,"[3, 4]"
11,simple_examples,svižnosť,sg,N,svižnosť,f,možnosť,svižnosť,ø,[],sviž|n|osť,"[4, 5]"
12,simple_examples,predpis,sg,A,predpis,mi,zápas,predpis,ø,[],pred|pis,[4]
13,simple_examples,sublimát,sg,N,sublimát,mi,zápas,sublimát,ø,[],sublim|át,[6]
14,simple_examples,stupaj,sg,N,stupaj,f,esej,stupaj,ø,[],stup|aj,[4]
15,simple_examples,krošňa,pl,D,krošniam,f,poisťovňa,krošn,iam,[5],krošň|a,[5]
16,simple_examples,zlodej,sg,I,zlodejom,mp,chlap,zlodej,om,[6],zl|o|dej,"[2, 3]"
17,simple_examples,znakár,pl,I,znakármi,mp,chlap,znakár,mi,[6],znak|ár,[4]
18,simple_examples,rádium,pl,G,rádií,n,médium,rádi,í,[4],rádi|um,[4]
19,simple_examples,čulosť,sg,G,čulosti,f,možnosť,čulost,i,[6],čul|osť,[3]
20,simple_examples,zápis,pl,D,zápisom,mi,zápas,zápis,om,[5],zá|pis,[2]
21,simple_examples,malvica,sg,L,malvici,f,ulica,malvic,i,[6],malv|ic|a,"[4, 6]"
22,simple_examples,žaket,pl,D,žaketom,mi,zápas,žaket,om,[5],žaket,[]
23,simple_examples,znalosť,sg,L,znalosti,f,možnosť,znalost,i,[7],zn|al|osť,"[2, 4]"
24,simple_examples,úmor,sg,N,úmor,mi,zápas,úmor,ø,[],ú|mor,[1]
25,simple_examples,mikrób,sg,A,mikrób,mp,chlap,mikrób,ø,[],mikrób,[]
26,simple_examples,jantár,pl,A,jantáre,mi,žiaľ,jantár,e,[6],jantár,[]
27,simple_examples,úlisnica,sg,A,úlisnicu,f,ulica,úlisnic,u,[7],ú|lis|n|ic|a,"[1, 4, 5, 7]"
28,simple_examples,hever,sg,D,heveru,mi,hotel,hever,u,[5],hev|er,[3]
29,simple_examples,brlôžok,pl,D,brlôžkom,mi,kúsok,brlôžk,om,[6],brlôžok,[]
30,simple_examples,čas,pl,D,časom,mi,zápas,čas,om,[3],čas,[]
31,simple_examples,žena,sg,I,ženou,f,žena,žen,ou,[3],žen|a,[3]
32,simple_examples,chlap,sg,D,chlapovi,mp,chlap,chlap,ovi,[5],chlap,[]
33,simple_examples,hlas,sg,A,hlas,mi,zápas,hlas,ø,[],hlas,[]
